policy,mode,domain,structure,label,tp,fp,fn,precision,recall,f1
minimal,combined,HR-Dokumente,regular,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,structured,PER,2,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,unstructured,E_MAIL,3,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,unstructured,PER,2,1,1,0.666667,0.666667,0.666667
minimal,combined,HR-Dokumente,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,regular,PER,3,0,1,1.000000,0.750000,0.857143
minimal,combined,Supporttickets,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,structured,PER,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,regular,PER,5,2,7,0.714286,0.416667,0.526316
minimal,combined,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,structured,PER,6,0,0,1.000000,1.000000,1.000000
